name,pcode,mean,std,max,min,q90,time_of_prediction
Busongora,UG411502,0.0017857142857142859,0.0132432115840994,0.1,0.0,0.0,2023-04-06 12:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-06 12:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-06 13:00:00
Busongora,UG411502,0.0,0.0,0.0,0.0,0.0,2023-04-06 13:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-06 13:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-06 14:00:00
Busongora,UG411502,0.005357142857142857,0.039729634752298196,0.3,0.0,0.0,2023-04-06 14:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-06 14:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-06 15:00:00
Busongora,UG411502,0.0,0.0,0.0,0.0,0.0,2023-04-06 15:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-06 15:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-06 16:00:00
Busongora,UG411502,0.0,0.0,0.0,0.0,0.0,2023-04-06 16:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-06 16:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-06 17:00:00
Busongora,UG411502,0.0,0.0,0.0,0.0,0.0,2023-04-06 17:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-06 17:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-06 18:00:00
Busongora,UG411502,0.0,0.0,0.0,0.0,0.0,2023-04-06 18:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-06 18:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-06 19:00:00
Busongora,UG411502,0.0,0.0,0.0,0.0,0.0,2023-04-06 19:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-06 19:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-06 20:00:00
Busongora,UG411502,0.0,0.0,0.0,0.0,0.0,2023-04-06 20:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-06 20:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-06 21:00:00
Busongora,UG411502,0.0,0.0,0.0,0.0,0.0,2023-04-06 21:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-06 21:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-06 22:00:00
Busongora,UG411502,0.0,0.0,0.0,0.0,0.0,2023-04-06 22:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-06 22:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-06 23:00:00
Busongora,UG411502,0.0,0.0,0.0,0.0,0.0,2023-04-06 23:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-06 23:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-07 00:00:00
Busongora,UG411502,0.0,0.0,0.0,0.0,0.0,2023-04-07 00:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-07 00:00:00
Bukonjo,UG411501,0.0,0.0,0.0,0.0,0.0,2023-04-07 06:00:00
Busongora,UG411502,0.0,0.0,0.0,0.0,0.0,2023-04-07 06:00:00
Kasese Municipality,UG411503,0.0,0.0,0.0,0.0,0.0,2023-04-07 06:00:00
Bukonjo,UG411501,0.03571428571428571,0.1673624930551426,0.9,0.0,0.0,2023-04-07 12:00:00
Busongora,UG411502,0.04285714285714286,0.25414924106653136,1.9,0.0,0.0,2023-04-07 12:00:00
Kasese Municipality,UG411503,0.008333333333333333,0.027638539919628335,0.1,0.0,0.0,2023-04-07 12:00:00
